Station Name: PHOENIX PARK,,,,,,,,,,
Station Height: 48 M,,,,,,,,,,
Latitude:53.364,Longitude: -6.350,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
date:  -  00 to 00 utc,,,,,,,,,,
rain:  -  Precipitation Amount (mm),,,,,,,,,,
"maxtp: -  Maximum Air Temperature (C)	  ",,,,,,,,,,
mintp: -  Minimum  Air Temperature (C),,,,,,,,,,
gmin:  -  09utc Grass Minimum Temperature (C),,,,,,,,,,
soil:  -  Mean 10cm soil temperature (C),,,,,,,,,,
cbl:   -  Mean CBL Pressure (hpa),,,,,,,,,,
ind:   -  Indicator (i),,,,,,,,,,
,,,,,,,,,,
date,ind,maxtp,ind,mintp,igmin,gmin,ind,rain,cbl,soil
16-Aug-03,0,20.1,0,7.5,4, ,0,0,1013.7,18.565
17-Aug-03,0,21.3,0,11.6,0,7.5,0,1.1,1007.5,18.28
18-Aug-03,0,20.3,0,8.5,0,4.3,0,0,1008.8,17.825
19-Aug-03,0,19.9,0,11.3,0,7.7,0,0,1014.3,18.138
20-Aug-03,0,21.5,0,10.8,0,6.9,0,0,1013.6,18.432
21-Aug-03,0,24,0,13,0,9.1,0,0.1,1007,19.122
22-Aug-03,0,20.6,0,14,0,12.4,0,4.9,1009,18.728
23-Aug-03,0,25.1,0,16.2,0,16.2,0,0,1014.7,20.24
24-Aug-03,0,22.6,0,15.1,0,12,0,0,1016.9,20.065
25-Aug-03,0,18.9,0,15.4,0,13,0,0,1015.6,18.71
26-Aug-03,0,18.7,0,11.8,0,14.1,0,0,1013.2,18.298
27-Aug-03,0,19.2,0,9.4,0,8.1,0,0,1010,18.382
28-Aug-03,0,16.7,0,8.6,0,5.4,0,3.9,1005.8,15.99
29-Aug-03,0,17.6,0,7.7,0,4.5,0,1,1009.6,15.283
30-Aug-03,0,17.7,0,6,0,2.4,0,0,1015.3,14.715
31-Aug-03,0,16.4,0,8.5,0,4.8,0,0,1018.1,15.347
01-Sep-03,4, ,4, , , ,8, , , 
02-Sep-03,0,19.3,0,13.2, , ,0,0,1022.8, 
03-Sep-03,0,19,0,12.2, , ,0,0,1024.2, 
06-Sep-03,0,19.9,0,6.7, , ,0,0,1009.2, 
07-Sep-03,0,16,0,5.1, , ,0,8,1005.8, 
08-Sep-03,0,18.4,0,6.3, , ,0,0.1,1006.2, 
09-Sep-03,0,16.1,0,7.5, , ,0,1.2,1006.4, 
10-Sep-03,0,19.4,0,13.5, , ,0,2,1007.2, 
11-Sep-03,0,21.8,0,8.3, , ,0,0.4,1015.7, 
12-Sep-03,4, ,4, , , ,8, , , 
07-Oct-03,0,13.5,0,8.5,4, ,0,2.9,1006.4,11.142
08-Oct-03,0,19.2,0,11,0,10.1,0,0.1,1011.7,13.472
09-Oct-03,0,19.2,0,10.7,0,7.3,0,0.3,1010.5,13.66
10-Oct-03,0,15.7,0,5.6,0,3.9,0,0,1012.3,12.46
11-Oct-03,0,16.7,0,6.3,0,2.6,0,0,1016,11.943
12-Oct-03,0,14.3,0,12,0,10.1,0,1.1,1014.4,12.917
13-Oct-03,0,15.1,0,11.3,0,10.9,0,5.7,1013.5,12.991
